LocationURL,Assertion
/location/wales_rotherham?lang=en,"Air quality in Wales, Rotherham"
/location/welshpool-mid-wales-airport_powys-powys?lang=en,"Air quality in Welshpool Mid Wales Airport, Powys - Powys"
/location/maes-awyr-gorllewin-cymru_sir-ceredigion-ceredigion?lang=en,"Air quality in Maes Awyr Gorllewin Cymru, Sir Ceredigion - Ceredigion"
/location/walesby_newark-and-sherwood?lang=en,"Air quality in Walesby, Newark and Sherwood"
/location/scotlands_city-of-wolverhampton?lang=en,"Air quality in Scotlands, City of Wolverhampton"
/lleoliad/london_city-of-westminster?lang=cy,"Ansawdd aer – London, City of Westminster"
/lleoliad/millbrook_city-of-southampton/?lang=cy,"Ansawdd aer – Millbrook, City of Southampton"
/location/millbrook_caerffili-caerphilly?lang=en,"Air quality in Millbrook, Caerffili - Caerphilly"
/location/bristol_city-of-bristol?lang=en,"Air quality in Bristol, City of Bristol"
/location/little-london_leeds?lang=en,"Air quality in Little London, Leeds"
/location/rotherham_rotherham,"Air quality in Rotherham, Rotherham"
/lleoliad/gloucester_gloucester,"Ansawdd aer – Gloucester, Gloucester"
/lleoliad/millbrook_tameside?lang=cy,"Ansawdd aer – Millbrook, Tameside"
/location/wales,"Air quality in Wales, Rotherham"
/location/park,"Air quality in Park, Bradford"
/lleoliad/scotlands_city-of-wolverhampton/?lang=cy,"Ansawdd aer – Scotlands, City of Wolverhampton"
/lleoliad/london,"Ansawdd aer – London, City of Westminster"
/location/southerndown_bro-morgannwg-the-vale-of-glamorgan,"Air quality in Southerndown, Bro Morgannwg - the Vale of Glamorgan"
/lleoliad/reading,"Ansawdd aer – Reading, Reading"
